kp_id,课序,课名,多音字,候选数,候选读音,本课读音编号,备注
777,3112,"第2课 花的学校",假,2,"1.jià(放假) | 2.jiǎ(真假)",,
778,3121,"第4课 古诗三首",磨,2,"1.mó(磨蹭) | 2.mò(石磨)",,
779,3121,"第4课 古诗三首",挑,2,"1.tiǎo(挑战) | 2.tiāo(挑选)",,
780,3132,"第9课 犟龟",几,2,"1.jī(几乎) | 2.jǐ(几个)",,
781,3133,"第10课 小狗学叫",吗,2,"1.má(干吗) | 2.ma(好吗)",,
782,3133,"第10课 小狗学叫",中,2,"1.zhòng(中奖) | 2.zhōng(中间)",,
783,3133,"第10课 小狗学叫",弹,2,"1.dàn(子弹) | 2.tán(弹琴)",,
784,3141,"第11课 宝葫芦的秘密",少,2,"1.shào(少年) | 2.shǎo(多少)",,
785,3141,"第11课 宝葫芦的秘密",冲,2,"1.chòng(冲着) | 2.chōng(冲击)",,
786,3141,"第11课 宝葫芦的秘密",系,2,"1.xì(联系) | 2.jì(系鞋带)",,
787,3142,"第12课 在牛肚子里旅行",答,2,"1.dā(答应) | 2.dá(回答)",,
788,3142,"第12课 在牛肚子里旅行",应,2,"1.yìng(呼应) | 2.yīng(应当)",,
789,3143,"第13课 一块奶酪",骨,2,"1.gū(骨碌碌) | 2.gǔ(骨头)",,
790,3143,"第13课 一块奶酪",处,2,"1.chǔ(处理) | 2.chù(到处)",,
791,3151,"第14课 搭船的鸟",啦,2,"1.lā(哗啦) | 2.la(好啦)",,
792,3161,"第16课 富饶的西沙群岛",参,3,"1.shēn(海参) | 2.cān(参加) | 3.cēn(参差不齐)",,
793,3162,"第17课 海滨小城",臂,2,"1.bei(胳臂) | 2.bì(臂膀)",,
794,3163,"第18课 美丽的小兴安岭",兴,2,"1.xīng(兴旺) | 2.xìng(高兴)",,
795,3163,"第18课 美丽的小兴安岭",舍,2,"1.shè(宿舍) | 2.shě(舍弃)",,
796,3164,"第19课 香港，璀璨的明珠",角,2,"1.jué(角色) | 2.jiǎo(墙角)",,
797,3171,"第20课 古诗三首",抹,3,"1.mǒ(涂抹) | 2.mā(抹布) | 3.mò(抹墙)",,
798,3172,"第21课 大自然的声音",呢,2,"1.ní(呢喃) | 2.ne(早着呢)",,
799,3183,"第25课 手术台就是阵地",大,2,"1.dài(大夫) | 2.dà(大家)",,
800,3183,"第25课 手术台就是阵地",担,2,"1.dān(担水) | 2.dàn(重担)",,
801,3184,"第26课 一个粗瓷大碗",还,2,"1.huán(还价) | 2.hái(还有)",,
802,3184,"第26课 一个粗瓷大碗",禁,2,"1.jīn(情不自禁) | 2.jìn(禁止)",,
803,3000,"二年级 总复习",应,2,"1.yīng(应该) | 2.yìng(应用)",,
804,3000,"二年级 总复习",发,2,"1.fā(发现) | 2.fà(头发)",,
805,3000,"二年级 总复习",漂,3,"1.piāo(漂流) | 2.piǎo(漂白) | 3.piào(漂亮)",,
806,3000,"二年级 总复习",炸,2,"1.zhá(油炸) | 2.zhà(炸弹)",,
807,3000,"二年级 总复习",圈,2,"1.juàn(羊圈) | 2.quān(圆圈)",,
808,3000,"二年级 总复习",便,2,"1.biàn(方便) | 2.pián(便宜)",,
809,3000,"二年级 总复习",模,2,"1.mú(模样) | 2.mó(模型)",,
810,3000,"二年级 总复习",重,2,"1.chóng(重复) | 2.zhòng(重量)",,
811,3000,"二年级 总复习",尽,2,"1.jǐn(尽管) | 2.jìn(尽力)",,
812,3000,"二年级 总复习",背,2,"1.bēi(背包) | 2.bèi(后背)",,
813,3000,"二年级 总复习",传,2,"1.chuán(传说) | 2.zhuàn(传记)",,
814,3000,"二年级 总复习",结,2,"1.jiē(结实) | 2.jié(打结)",,
815,3000,"二年级 总复习",教,2,"1.jiāo(教书) | 2.jiào(教师)",,
